Prélude,Balenciaga,10210306
Rumba,Ted Lapidus,10210307
Talisman,Balenciaga,10210308
Cristobal,Balenciaga,10210310
Vent Vert (original),Pierre Balmain,10210314
Jolie Madame,Pierre Balmain,10210315
Miss Balmain,Pierre Balmain,10210316
Ivoire (original),Pierre Balmain,10210317
Vent Vert (new),Pierre Balmain,10210318
Balmain de Balmain,Pierre Balmain,10210319
Balmya,Pierre Balmain,10210321
W,Banana Republic,10210323
Modern for Her,Banana Republic,10210324
BR,Banana Republic,10210325
Artemisia,Penhaligon's,10210327
Seasons Greedings,The Goth Rosary,10210328
Misha,Mikhail Baryshnikov,10210330
Baryshnikov Pour Femme,Mikhail Baryshnikov,10210331
Imagine... Love,Bath and Body Works,10210337
Imagine... Happiness,Bath and Body Works,10210338
Maybe Baby,Benefit,10210339
Colors de Benetton,Benetton,10210340
Tribù,Benetton,10210341
Bijan,Bijan,10210359
Bijan With a Twist,Bijan,10210361
Bill Blass,Bill Blass,10210362
Nude,Bill Blass,10210363
Basic Black,Bill Blass,10210364
Hot,Bill Blass,10210365
Amazing,Bill Blass,10210366
Eau Vitaminée,Biotherm,10210367
Bliss,Bliss,10210370
Blumarine,Blumarine,10210372
Vintage Blumarine,Blumarine,10210375
Mackie (original),Bob Mackie,10210377
Mackie (new),Bob Mackie,10210378
Perhaps,Bob Mackie,10210379
Masquerade,Bob Mackie,10210380
Bobbi,Bobbi Brown,10210381
Beach,Bobbi Brown,10210382
Lavender,Body Shop,10210384
Patchouli,Body Shop,10210388
Gardenia,Body Shop,10210390
Lilac,Body Shop,10210393
Ananya,Body Shop,10210395
Bogner Woman No. 1,Bogner,10210396
Di Boghese,Borghese,10210406
Il Bacio,Borghese,10210408
Violetta di Parma,Borsari,10210411
Boucheron,Boucheron,10210415
Jaïpur,Boucheron,10210416
Jaïpur Saphir,Boucheron,10210417
Initial,Boucheron,10210418
Louis XV,Bourjois,10210420
Soir de Paris / Evening in Paris (original),Bourjois,10210437
